"major_field_code";"major_field";"minor_field_code";"minor_field"
"1";"1";"Natural sciences";"1.1";"Mathematics"
"2";"1";"Natural sciences";"1.2";"Computer and information sciences"
"3";"1";"Natural sciences";"1.3";"Physical sciences"
"4";"1";"Natural sciences";"1.4";"Chemical sciences"
"5";"1";"Natural sciences";"1.5";"Earth and related environmental sciences"
"6";"1";"Natural sciences";"1.6";"Biological sciences"
"7";"1";"Natural sciences";"1.7";"Other natural sciences"
"8";"2";"Engineering and technology";"2.1";"Civil engineering"
"9";"2";"Engineering and technology";"2.2";"Electrical, electronic and information engineering"
"10";"2";"Engineering and technology";"2.3";"Mechanical engineering"
"11";"2";"Engineering and technology";"2.4";"Chemical engineering"
"12";"2";"Engineering and technology";"2.5";"Materials engineering"
"13";"2";"Engineering and technology";"2.6";"Medical engineering"
"14";"2";"Engineering and technology";"2.7";"Environmental engineering"
"15";"2";"Engineering and technology";"2.8";"Environmental biotechnology"
"16";"2";"Engineering and technology";"2.9";"Industrial biotechnology"
"17";"2";"Engineering and technology";"2.10";"Nano-technology"
"18";"2";"Engineering and technology";"2.11";"Other engineering and technologies"
"19";"3";"Medical and health sciences";"3.1";"Basic medicine"
"20";"3";"Medical and health sciences";"3.2";"Clinical medicine"
"21";"3";"Medical and health sciences";"3.3";"Health sciences"
"22";"3";"Medical and health sciences";"3.4";"Medical biotechnology"
"23";"3";"Medical and health sciences";"3.5";"Other medical sciences"
"24";"4";"Agricultural sciences";"4.1";"Agriculture, forestry, and fisheries"
"25";"4";"Agricultural sciences";"4.2";"Animal and dairy science"
"26";"4";"Agricultural sciences";"4.3";"Veterinary science"
"27";"4";"Agricultural sciences";"4.4";"Agricultural biotechnology"
"28";"4";"Agricultural sciences";"4.5";"Other agricultural sciences"
"29";"5";"Social sciences";"5.1";"Psychology"
"30";"5";"Social sciences";"5.2";"Economics and business"
"31";"5";"Social sciences";"5.3";"Educational sciences"
"32";"5";"Social sciences";"5.4";"Sociology"
"33";"5";"Social sciences";"5.5";"Law"
"34";"5";"Social sciences";"5.6";"Political science"
"35";"5";"Social sciences";"5.7";"Social and economic geography"
"36";"5";"Social sciences";"5.8";"Media and communications"
"37";"5";"Social sciences";"5.9";"Other social sciences"
"38";"6";"Humanities";"6.1";"History and archaeology"
"39";"6";"Humanities";"6.2";"Languages and literature"
"40";"6";"Humanities";"6.3";"Philosophy, ethics and religion"
"41";"6";"Humanities";"6.4";"Arts"
"42";"6";"Humanities";"6.5";"Other humanities"
